Date,Close,High,Low,Open,Volume
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD
Date,,,,,
2020-01-01,7200.174316,7254.330566,7174.944336,7194.89209,18565664997
2020-01-02,6985.470215,7212.155273,6935.27002,7202.55127,20802083465
2020-01-03,7344.884277,7413.715332,6914.996094,6984.428711,28111481032
2020-01-04,7410.656738,7427.385742,7309.51416,7345.375488,18444271275
2020-01-05,7411.317383,7544.49707,7400.535645,7410.45166,19725074095
2020-01-06,7769.219238,7781.867188,7409.292969,7410.452148,23276261598
2020-01-07,8163.692383,8178.21582,7768.227539,7768.682129,28767291327
2020-01-08,8079.862793,8396.738281,7956.774414,8161.935547,31672559265
2020-01-09,7879.071289,8082.295898,7842.403809,8082.295898,24045990466
2020-01-10,8166.554199,8166.554199,7726.774902,7878.307617,28714583844
2020-01-11,8037.537598,8218.359375,8029.64209,8162.190918,25521165085
2020-01-12,8192.494141,8200.063477,8009.059082,8033.261719,22903438381
2020-01-13,8144.194336,8197.788086,8079.700684,8189.771973,22482910688
2020-01-14,8827.764648,8879.511719,8140.933105,8140.933105,44841784107
2020-01-15,8807.010742,8890.117188,8657.1875,8825.34375,40102834650
2020-01-16,8723.786133,8846.460938,8612.095703,8812.481445,31313981931
2020-01-17,8929.038086,8958.12207,8677.316406,8725.209961,36372139320
2020-01-18,8942.808594,9012.198242,8827.332031,8927.211914,32337772627
2020-01-19,8706.245117,9164.362305,8620.080078,8941.445313,34217320471
2020-01-20,8657.642578,8745.59082,8560.473633,8704.631836,26422375678
2020-01-21,8745.894531,8755.706055,8544.520508,8658.991211,24097418512
2020-01-22,8680.875977,8792.994141,8636.74707,8744.210938,22600204051
2020-01-23,8406.515625,8687.74707,8333.637695,8680.650391,25770680779
2020-01-24,8445.43457,8514.666992,8266.84082,8405.567383,24397913026
2020-01-25,8367.847656,8458.453125,8296.21875,8440.119141,19647331549
2020-01-26,8596.830078,8602.401367,8325.498047,8364.410156,22177678796
2020-01-27,8909.819336,8977.726563,8597.308594,8597.308594,28647338393
2020-01-28,9358.589844,9358.589844,8908.447266,8912.524414,34398744403
2020-01-29,9316.629883,9406.431641,9269.467773,9357.470703,30682598115
2020-01-30,9508.993164,9553.125977,9230.897461,9316.016602,32378792851
2020-01-31,9350.529297,9521.706055,9230.776367,9508.313477,29432489719
